acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR26496222,PRJNA880762,seawater metagenome,9,other,31574,,,(unnanotated),""
ERR10048378,PRJEB52849,Equus asinus asinus,13,other,89157,,,(unnanotated),""
SRR26457506,PRJNA1029118,soil metagenome,9,other,57252,"[""not applicable""]",,(unnanotated),""
SRR26937405,PRJNA1044412,compost metagenome,16,other,6295,"[""pigmanure""]",,(unnanotated),""
SRR10098305,PRJNA563872,bovine metagenome,8,other,11884,"[""Bos taurus""]",,(unnanotated),""
SRR8475653,PRJNA502773,peat metagenome,9,other,18631,"[""not applicable""]",,(unnanotated),""
SRR7186501,PRJNA450295,root metagenome,11,other,64341,"[""Setaria italica""]",,(unnanotated),""
SRR26080959,PRJNA1014595,marine sediment metagenome,10,other,62160,"[""not applicable""]",,(unnanotated),""
SRR15377928,PRJNA714922,soil metagenome,9,other,54723,,,(unnanotated),""
SRR6056503,PRJNA406027,rhizosphere metagenome,13,other,57983,"[""not applicable""]",,(unnanotated),""
SRR21398030,PRJNA863385,sediment metagenome,8,other,11170,,,(unnanotated),""
SRR9617119,PRJNA539318,sediment metagenome,16,other,72107,"[""not applicable""]",,(unnanotated),""
SRR24955711,PRJNA984925,bovine metagenome,9,other,11066,"[""Bos taurus""]",,(unnanotated),""
SRR9648393,PRJNA539594,soil metagenome,14,other,72469,"[""not applicable""]",,(unnanotated),""
SRR13343633,PRJNA686811,bovine gut metagenome,10,other,13278,"[""cow""]",,(unnanotated),""
ERR3697023,PRJEB35612,soil metagenome,14,other,93230,,"[""Resistome of root endophytes udner antibiotic exposure""]",(unnanotated),""
SRR12953107,PRJNA650767,wetland metagenome,12,other,41153,"[""not applicable""]",,(unnanotated),""
SRR7132770,PRJNA439822,sediment metagenome,11,other,23811,"[""not applicable""]",,(unnanotated),""
SRR12825420,PRJNA668816,sediment metagenome,15,other,31768,,,(unnanotated),""
SRR8451843,PRJNA203445,food metagenome,10,other,91073,"[""Chicken""]",,(unnanotated),""
SRR13425446,PRJNA691704,lagoon metagenome,16,other,228335,,,(unnanotated),""
SRR11836447,PRJNA620665,soil metagenome,10,other,52293,"[""not applicable""]",,(unnanotated),""
SRR8881011,PRJNA531765,wetland metagenome,13,other,74075,"[""not applicable""]",,(unnanotated),""
SRR14366789,PRJNA699054,groundwater metagenome,10,other,33703,,,(unnanotated),""
SRR28298053,PRJNA1086787,sediment metagenome,11,other,15873,"[""Mangrove""]",,(unnanotated),""
SRR3181146,PRJNA309291,bovine gut metagenome,9,other,14930,"[""Bos taurus""]",,(unnanotated),""
SRR29445156,PRJNA1125130,Fibrobacteria,10,other,11985,"[""horse""]",,(unnanotated),""
SRR21892055,PRJNA887701,freshwater metagenome,8,other,28905,"[""miss""]",,(unnanotated),""
SRR19747157,PRJNA850363,soil metagenome,9,other,39282,"[""not applicable""]",,(unnanotated),""
SRR24579366,PRJNA972502,soil metagenome,8,other,27063,,,(unnanotated),""
SRR30884403,PRJNA1163957,soil metagenome,15,other,10617,"[""Pig""]",,(unnanotated),""
SRR5823610,PRJNA393632,soil metagenome,12,other,29588,,,(unnanotated),""
SRR9617951,PRJNA539336,sediment metagenome,13,other,60118,"[""not applicable""]",,(unnanotated),""
SRR26496205,PRJNA880762,seawater metagenome,10,other,29991,,,(unnanotated),""
ERR5029656,PRJEB42267,permafrost metagenome,13,other,213277,,"[""Frozen soil exploration""]",(unnanotated),""
