organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR17714294,PRJNA799789,12,other,11802,"[""Bos taurus""]",
bovine metagenome,1,SRR3053204,PRJNA292471,11,other,5696,"[""Bos taurus""]",
Bos taurus,1,ERR2019384,PRJEB21508,9,other,14835,,"[""Ruminomics EU FP7""]"
mouse gut metagenome,0,SRR12398547,PRJNA655594,15,other,54668,"[""C57BL/6J""]",
Bos taurus,1,SRR24891232,PRJNA981443,9,other,14559,,
sheep gut metagenome,1,SRR17274329,PRJNA783381,8,other,10791,"[""sheep110""]",
bovine gut metagenome,1,SRR4435570,PRJNA214227,8,other,10114,"[""Bison bison""]",
bovine gut metagenome,1,SRR22213140,PRJNA898608,10,other,8067,"[""Bos taurus indicus""]",
Equus asinus,1,SRR28806299,PRJNA1103961,11,other,13106,,
bovine metagenome,1,SRR6512894,PRJNA420682,14,other,9613,"[""Bos taurus""]",
bovine metagenome,1,SRR24963292,PRJNA984925,10,other,10179,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418355,PRJNA792486,8,other,27228,"[""Black goat""]",
bovine gut metagenome,1,SRR5371413,PRJNA356291,13,other,7742,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220216,PRJEB31266,10,other,18826,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR13343635,PRJNA686811,11,other,13854,"[""cow""]",
bovine gut metagenome,1,SRR5371415,PRJNA356291,15,other,14755,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181142,PRJNA309291,13,other,15699,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048379,PRJEB52849,14,other,99073,,
bovine gut metagenome,1,SRR9008937,PRJNA539664,16,other,47418,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3211461,PRJEB31266,13,other,31652,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
